Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"XZPIJV073868007","East Texas Genealogical Society (ETGS)","PO Box 6967","","","","","Tyler, TX 75711-6967 USA","Tyler","TX","75711-6967","United States","","","","","tx-etgs-l-request@rootsweb.com","http://www.etgs.org","8699","Membership Organizations Nec","","","1977","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Genealogy; Families; History","4; 06","South Central and Great Plains States; Cultural Organizations","Shelia Hallmark","","","",""
"IKFFSU825421481","East Texas Handbell Ensemble (ETHE)","3307 Pebblebrook Dr.","","","","","Tyler, TX 75707-1733 USA","Tyler","TX","75707-1733","United States","","","","","ethandbells@aol.com","http://www.easttexashandbellensemble.com","8699","Membership Organizations Nec","","","1994","","","15","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 06","South Central and Great Plains States; Cultural Organizations","Gini Rainey","","","",""
"NPCUXH275537533","Economic Development Corporation of Weslaco","275 S Kansas Blvd.","","","","","Weslaco, TX 78596 USA","Weslaco","TX","78596","United States","956","(956)969-0838","","(956)969-8611","","http://www.weslacoedc.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Economic Development","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Joey Trevino","","","",""
"JWKQUO393154604","Ector County Young Lawyers Association","c/o Amber James","3800 E 42nd St., Ste. 500","","","","Odessa, TX 79762 USA","Odessa","TX","79762","United States","432","(432)331-1600","","","","http://www.tyla.org/tyla/index.cfm/affiliates","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Angela M. Shimek","","","",""
"NBVWAM288770369","Eden Chamber of Commerce (ECC)","PO Box 367","","","","","Eden, TX 76837 USA","Eden","TX","76837","United States","325","(325)869-3336","","","edenchamber@verizon.net","http://www.edentexas.com/articles/view/welcome-to-the-eden-chamber-of-commerce","8611","Business Associations","","","","","","50","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Blake Legett","","","",""
"JFOCZK015664758","Edison - YoungLife","c/o Young Life West Dallas","3801 Holystone St.","","","","Dallas, TX 75212-1524 USA","Dallas","TX","75212-1524","United States","214","(214)905-1042","","","","http://edison.younglife.org/Pages/default.aspx","8661","Religious Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Youth","4; 11","South Central and Great Plains States; Religious Organizations","","","","",""
"MTWAXH802053016","Edna Lions Club","PO Box 19","","","","","Edna, TX 77957 USA","Edna","TX","77957","United States","","","","","info@ednalionsclub.org","http://www.ednalionsclub.org","8641","Civic and Social Associations","","","","","","25","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Deidra Whitley","","","",""
"RNSWTM017600794","Electra Chamber of Commerce","112 W Cleveland Ave.","","","","","Electra, TX 76360-2604 USA","Electra","TX","76360-2604","United States","940","(940)495-3577","","","electracoc@electratel.net","http://www.electratexas.org","8611","Business Associations","","","1908","1","","69","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Sherry Strange","","","",""
"HOGVFR269674345","Ellis Hill Association of Realtors (EHAR)","801 N Interstate 35 E Service Rd.","","","","","Waxahachie, TX 75165 USA","Waxahachie","TX","75165","United States","972","(972)938-9481","","(972)584-6032","admin@ellishillrealtors.com","http://www.ellishillrealtors.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Real Estate","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Debbie Clanton","","","",""
"IUGDPJ094871322","El Paso County Medical Society - Texas","1301 Montana Ave.","","","","","El Paso, TX 79902 USA","El Paso","TX","79902","United States","915","(915)533-0940; (915)532-4542","","(915)533-1188","epmedsoc@aol.com","http://www.epcms.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Patsy A. Slaughter","","","",""
"UAPAFM834498103","El Paso Del Norte German Shorthaired Pointer Club","c/o Elsa Parham","1017 Richard Dr.","","","","El Paso, TX 79907 USA","El Paso","TX","79907","United States","915","(915)525-2331","","","elsa.parham@yahoo.com","http://www.gspca.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Dog","4","South Central and Great Plains States","Elsa Parham","","","",""
"CBBBUI217551580","El Paso East Lions Club","2155 Wedgewood Dr.","","","","","El Paso, TX 79925 USA","El Paso","TX","79925","United States","915","(915)599-6735","","","","http://e-clubhouse.org/sites/elpasoeast","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Lion Marie Garachana","","","",""
"ZLKPXG935056904","El Paso Foster Parent Association","1208 Myrtle Ave.","","","","","El Paso, TX 79901 USA","El Paso","TX","79901","United States","915","(915)274-2598","","","","http://www.tffa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Parents","4; 07","South Central and Great Plains States; Social Welfare Organizations","Dorothy Truax","","","",""
"TOEFOM370026817","El Paso Hispanic Chamber of Commerce (EPHCC)","2401 E Missouri St.","","","","","El Paso, TX 79903 USA","El Paso","TX","79903","United States","915","(915)566-4066","","(915)566-9714","","http://www.ephcc.org","8611","Business Associations","","","1990","12","","","None Reported","Yes","Recognition; Scholarship","Yes","Newsletter","monthly","No","Yes","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Cindy Ramos-Davidson","","","",""
"ZNORFR206888635","El Paso Restaurant Association","c/o Leo Duran, President","L & J Cafe, Inc.","3622 E Missouri Ave.","","","El Paso, TX 79903 USA","El Paso","TX","79903","United States","915","(915)566-8418","","","","http://www.restaurantville.com/membership/local-chapters","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Hospitality Industries","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Leo Duran","","","",""
"OUBSSC080136647","El Paso University Lions Club","2009 Campbell St.","","","","","El Paso, TX 79902 USA","El Paso","TX","79902","United States","915","(915)747-8124","","","","http://lionsunivelpasotx.lionwap.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Berenice Arriaga","","","",""
"PADRPD654777304","El Paso Upper Valley Lions Club","7420 N Golden Coral","","","","","El Paso, TX 79912 USA","El Paso","TX","79912","United States","","","","","","http://www.e-clubhouse.org/sites/elpasouv","8641","Civic and Social Associations","","","1956","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Frances S. Cherry","","","",""
"EGYPIS556564878","El Paso Young Lawyers Association","c/o Leo Maldonado, Secretary","1411 Montana Ave.","","","","El Paso, TX 79902 USA","El Paso","TX","79902","United States","915","(915)319-3798","","","","http://affiliates.tyla.org/epyla","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Erica P. Rios","","","",""
"FYTTDQ227541207","Employee Assistance Professionals Association - Heart of Texas Chapter","3267 Bee Caves Rd., Ste. 107, No. 178","","","","","Austin, TX 78746-6700 USA","Austin","TX","78746-6700","United States","512","(512)697-8537","","","","http://www.eapassn.org/HeartofTexas","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Employment; Employee Benefits; Employee Assistance Programs","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Michelle Zadrozny","","","",""
"TRMWTO178858711","Enlisted Association of the National Guard of the United States - Texas Auxiliary Chapter","National Guard Association of Texas","3706 Crawford Ave.","","","","Austin, TX 78731 USA","Austin","TX","78731","United States","512","(512)454-7300","","","","http://www.ngat.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Military","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Charles Chavers","","","",""
"TNWMCU584372625","Ennis Chamber of Commerce","108 Chamber of Commerce Dr.","","","","","Ennis, TX 75119 USA","Ennis","TX","75119","United States","972","(972)878-2625","","(972)875-1473","","http://www.ennis-chamber.com","8611","Business Associations","","","1918","3","","400","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Jeannette J. Patak","","","",""
"NIAWKF079554418","Entrepreneurs For North Texas (EFNT)","5500 Caruth Haven Ln.","","","","","Dallas, TX 75225-8146 USA","Dallas","TX","75225-8146","United States","214","(214)750-4222","","(214)750-4210","pgerber@efnt.org","http://www.efnt.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Community Service","4","South Central and Great Plains States","Ms. Pam Gerber","","","",""
"AKJUTS705409221","Entrepreneurs Foundation of Central Texas","PO Box 684826","","","","","Austin, TX 78768-4826 USA","Austin","TX","78768-4826","United States","512","(512)482-8894","","(512)233-2555","info@givetoaustin.org","http://www.givetoaustin.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Community Service","4","South Central and Great Plains States","Mr. Eugene Sepulveda","","","",""
"TQITZV895264123","E-Promostandards Alliance","3125 Skyway Cir. N","","","","","Coppell, TX 75019 USA","Coppell","TX","75019","United States","","","","","info@epromostandards.org","http://www.epromostandards.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","","","","",""
"HSPZSQ182542072","Equality Texas","PO Box 2340","","","","","Austin, TX 78768-2340 USA","Austin","TX","78768-2340","United States","512","(512)474-5475","","(512)474-6297","Info@EqualityTexas.org","http://www.equalitytexas.org","8699","Membership Organizations Nec","","","1989","6","193300","3000","None Reported","None Reported","","None Reported","","","","None Reported","","","Gay/Lesbian","4; 09","South Central and Great Plains States; Public Affairs Organizations","Chuck Smith","","","",""
"NCYALW340929431","Escapees RV Club - Chapter 5, Evergreen","c/o Ray Hoyt, President","248 Rainbow Dr., No. 14877","","","","Livingston, TX 77399 USA","Livingston","TX","77399","United States","425","(425)750-6139","","","escapeeschapter5@aol.com","http://www.escapees.com/chapter5","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Recreational Vehicles","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Ray Hoyt","","","",""
"UBZAVD858435035","Estate Planning Council of North Texas (EPCNT)","PO Box 38553","","","","","Dallas, TX 75238-8553 USA","Dallas","TX","75238-8553","United States","214","(214)340-8020","","","executivedirector@epcnt.org","http://www.epcnt.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Planning","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Teresa Moore","","","",""
"LDAKPB401961378","ETA International - Student Chapter No. 81","ITT Technical Institute","551 Ryan Plaza Dr.","","","","Arlington, TX 76011-3919 USA","Arlington","TX","76011-3919","United States","817","(817)794-5100","","","","http://www.eta-i.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Electronics","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Lynn Tipton","","","",""
"BWYKLM177345087","Eta Kappa Nu - Epsilon Mu Chapter - University of Texas at Arlington","Dept. of Electrical Engineering","Nedderman Hall, Rm. 501","416 Yates St.","","","Arlington, TX 76019 USA","Arlington","TX","76019","United States","817","(817)272-5662","","","hkn.uta@gmail.com","http://mavorgs.collegiatelink.net/organization/etakappanuelectricalengineering","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Engineering","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Hannah Vuppula","","","",""
"HJMCLO988128398","Exchange Club of Austin","c/o Pearl Mueller, Secretary","PO Box 41856","","","","Austin, TX 78704 USA","Austin","TX","78704","United States","512","(512)312-4056","","","info@austinexchange.org","http://www.austinexchange.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","John Evans","","","",""
"EJXJAG707124291","Exchange Club of Murphy","PO Box 1984","","","","","Wylie, TX 75098 USA","Wylie","TX","75098","United States","","","","","president@exchangeclubofmurphytexas.org","http://www.exchangeclubofmurphytexas.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Marv Williams","","","",""
"SWZYQK034961135","Executive Women's Golf Association - Austin, TX Chapter","PO Box 12604","","","","","Austin, TX 78711-2604 USA","Austin","TX","78711-2604","United States","","","","","golfevents@ewga-austin.com","http://www.ewga-austin.com","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Golf; Women","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Wendy Malloch","","","",""
"IXRVKK874338547","Experimental Aircraft Association - Chapter 12","c/o Dean Doolittle, Treasurer","2415 Dryden Rd.","","","","Houston, TX 77030 USA","Houston","TX","77030","United States","713","(713)666-2413","","","president@eaa12.org","http://www.eaa12.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Aerospace","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Richard Sessions","","","",""
"CHGRZC503105517","Explorers Club - Texas Chapter","c/o John Holder, Chairman","11502 Pradera Dr.","","","","Austin, TX 78759 USA","Austin","TX","78759","United States","512","(512)331-1011","","","","http://sandbox.explorers.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Exploration","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","John Holder","","","",""
"GAZGYD706041910","Fairfield Chamber of Commerce (FCC)","900 W Commerce St.","","","","","Fairfield, TX 75840 USA","Fairfield","TX","75840","United States","903","(903)389-5792","","(903)389-8382","chamber@fairfieldtx.com","http://fairfieldtexaschamber.com","8611","Business Associations","","","1993","","40000","160","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Mary Small","","","",""
"MZQFHA111670480","Falcon Club of America - Alamo Chapter","4005 Nockenut Rd.","","","","","Seguin, TX 78155 USA","Seguin","TX","78155","United States","210","(210)602-1401","","","","http://www.falconclub.com/chapter/sechapter.html","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Automobile; Automotive; Hobbies","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Samuel Dickinson","","","",""
"IZLFEQ494797310","Families for Effective Autism Treatment - North Texas","7286 Glenview Dr.","","","","","Richland Hills, TX 76180 USA","Richland Hills","TX","76180","United States","817","(817)919-2228","","","","http://www.featnt.org","8641","Civic and Social Associations","","","","","","","Yes","None Reported","","None Reported","","","","None Reported","","","Autism","4","South Central and Great Plains States","Laurie Snyder","","","",""
"BJPXPH732791829","Families with Children from China (FCC-H)","PO Box 8544","","","","","The Woodlands, TX 77387 USA","The Woodlands","TX","77387","United States","","","","","fcchouston@gmail.com","http://www.fcchouston.net","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Adoption","4; 07","South Central and Great Plains States; Social Welfare Organizations","Randy Brannen","","","",""
"OJMSOC264552948","Family, Career and Community Leaders of America - Texas","1107 W 45th st.","","","","","Austin, TX 78756 USA","Austin","TX","78756","United States","512","(512)306-0099","","(512)442-7100","fccla@texasfccla.org","http://www.texasfccla.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Families","4; 05","South Central and Great Plains States; Educational Organizations","Sharon Pierce","","","",""
"YSHUOY541649304","Family Educators Alliance of South Texas (FEAST)","25 Burwood Ln.","","","","","San Antonio, TX 78216 USA","San Antonio","TX","78216","United States","210","(210)342-4674","","","staff@homeschoolfeast.com","http://www.homeschool-life.com/tx/homeschoolfeast","8621","Professional Organizations","","","","","","","None Reported","None Reported","","Yes","Newsletter","monthly","Yes","None Reported","","","Teachers","4; 05","South Central and Great Plains States; Educational Organizations","Ruth Perez","","","",""
"HHYQNG996550861","Federal Bar Association - El Paso Chapter","c/o Marta Rew McLaughlin, President","525 Magoffin Ave., Ste. 651","","","","El Paso, TX 79901 USA","El Paso","TX","79901","United States","915","(915)534-6028","","","","http://www.fedbar.org","8621","Professional Organizations","","","","","","128","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Kristin M. Connor","","","",""
"XDZMZY846044744","Federal Bar Association - San Antonio Chapter","PO Box 460878","","","","","San Antonio, TX 78246 USA","San Antonio","TX","78246","United States","210","(210)250-6011","","","generalinfo@fedbarsatx.org%20","http://www.fedbarsatx.org","8621","Professional Organizations","8111","Legal Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Kay Perry","","","",""
"ZRCEWH231892547","Federal Bar Association - Southern District of Texas Chapter","c/o Danny David, President","Baker Boots LLP","1 Shell Plz.","910 Louisiana St.","","Houston, TX 77002 USA","Houston","TX","77002","United States","713","(713)229-4055","","","","http://www.fedbar.org/Chapters/Southern-District-of-Texas-Chapter.aspx","8621","Professional Organizations","8111","Legal Services","1959","","","300","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Danny David","","","",""
"MHDNEY297796533","Financial Planning Association of Dallas/Fort Worth Chapter","PO Box 261750","","","","","Plano, TX 75026-1750 USA","Plano","TX","75026-1750","United States","972","(972)747-0407; (214)691-6090","","(972)747-0409","execdir@fpadfw.org","http://www.fpadfw.org","8621","Professional Organizations","","","","","","830","None Reported","None Reported","","None Reported","","","","None Reported","","","Financial Planning","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Melisa Hall","","","",""
"SVKTRZ884964341","Financial Planning Association of San Antonio and South Texas","c/o Lynn Getz, Executive Director","PO Box 34036","","","","San Antonio, TX 78265 USA","San Antonio","TX","78265","United States","210","(210)822-6600","","(210)822-6600","execdir@fpasatx.org","http://chapters.onefpa.org/sanantoniosouthtexas","8621","Professional Organizations","","","","","","200","None Reported","None Reported","","None Reported","","","","None Reported","","","Financial Planning","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Donald Cieslak, CFP","","","",""
"QAFMIS675388206","Fire Instructors Association of North Texas (FIANT)","501 E Wintergreen Rd.","","","","","Desoto, TX 75115 USA","Desoto","TX","75115","United States","817","(817)515-7365","","","","http://www.fiant.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Fire Fighting; Safety; Public Welfare; Professionals","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","James M. Craft, Jr.","","","",""
"WVSASW063098448","Fire Prevention Association of North Texas (FPANT)","4099 Valleyview Ln.","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)744-5754","","(972)744-5796","info@fpant.org","http://www.fpant.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Codes","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Steven Epstein","","","",""
"GMYMAU795414046","The First Tee of Greater Dallas","2909 Cole Ave., Ste. 305","","","","","Dallas, TX 75204 USA","Dallas","TX","75204","United States","214","(214)954-4402","","","info@thefirstteedallas.org","http://www.thefirstteedallas.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Youth; Golf; Social Clubs; Social Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Scott Secules","","","",""
"WSIKPO021822170","The First Tee of Greater Tyler","PO Box 5329","","","","","Tyler, TX 75712-5329 USA","Tyler","TX","75712-5329","United States","903","(903)705-7281","","","","http://www.thefirstteegreatertyler.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Youth; Golf; Social Clubs; Social Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Gavin Rasco","","","",""
"GAUHRP230135188","Floydada Economic Development Corporation (FEDC)","105 S 5th St.","","","","","Floydada, TX 79235 USA","Floydada","TX","79235","United States","806","(806)983-3318","","(806)983-6017","","http://www.floydadaedc.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Economic Development","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Jeff Johnston","","","",""
"WHUJGD085835444","Foam Rangers Homebrew Club","c/o Sean Lamb","8715 Stella Link Rd.","","","","Houston, TX 77025 USA","Houston","TX","77025","United States","713","(713)668-9440","","","","http://www.foamrangers.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alcoholic Beverages","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Sean Lamb","","","",""
"ZDZWEN059882224","Forest Fire Lookout Association - Texas","c/o Ralph Harp, Representative","3331 Three Pines Dr.","","","","Kingwood, TX 77339 USA","Kingwood","TX","77339","United States","281","(281)359-7011","","","","http://www.firelookout.org/chapters.html","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Fire Protection","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Ralph Harp","","","",""
"WLUCDI536596377","Forest Products Society - Mid-South Section","c/o Edward F. Dougal, Chairman","Texas Forest Service","2127 S 1st St.","","","Lufkin, TX 75901-5941 USA","Lufkin","TX","75901-5941","United States","936","(936)639-8181","","","","http://www.forestprod.org/join_the_community/?region=midsouth","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Forestry","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Edward F. Dougal","","","",""
"FUZBZI842456929","Fort Bend County Criminal Defense Attorneys Association (FBCCDAA)","201 S 11th St.","","","","","Richmond, TX 77469 USA","Richmond","TX","77469","United States","281","(281)342-3321","","(281)341-8458","fbccdaa@yahoogroups.com","http://www.fbccdla.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Criminal Law","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Lee Cox","","","",""
"PZKBDC632379872","Fort Bend County Fair Association (FBCFA)","4310 Hwy. 36 S","","","","","Rosenberg, TX 77471 USA","Rosenberg","TX","77471","United States","281","(281)342-6171","","(281)342-0808","info@fbcfa.org","http://fortbendcountyfair.com","8641","Civic and Social Associations","","","1933","5","2000000","1500","None Reported","None Reported","","None Reported","","","","None Reported","","","Fair Agencies","4; 06","South Central and Great Plains States; Cultural Organizations","Neil Yelderman","","","",""
"KQFPDM065283544","Fort Bend County Fire Fighter's Association","c/o Mike Hafer, President","PO Box 205","","","","Richmond, TX 77406 USA","Richmond","TX","77406","United States","281","(281)232-6871","","(281)238-1215","","http://www.iccsafe.org/membership/chapters/icc-chapters-and-boardstaff-liaison-map","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Codes","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Mike Hafer","","","",""
"WBCIGD598598720","Fort Bend Psychological Association","c/o Charles Cox, PhD, Treasurer","50 Sugar Creek Center Blvd., Ste. 250","","","","Sugar Land, TX 77478 USA","Sugar Land","TX","77478","United States","281","(281)265-4566","","","","http://www.fortbendpsych.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Psychology","4; 08","South Central and Great Plains States; Health and Medical Organizations","Michael Ditsky, PhD","","","",""
"KFCYSM632893992","Fort Bend Young Lawyers Association","c/o Casson Wen","206 S 2nd St.","","","","Richmond, TX 77469 USA","Richmond","TX","77469","United States","281","(281)341-0077","","","","http://www.tyla.org/tyla/index.cfm/affiliates","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Casson Wen","","","",""
"MJEZGI560481736","For the Love of the Lake (FTLOTL)","PMB 281","381 Casa Linda Plz.","","","","Dallas, TX 75218-3471 USA","Dallas","TX","75218-3471","United States","214","(214)660-1100","","","info@whiterocklake.org","http://www.whiterocklake.org","8699","Membership Organizations Nec","7997","Membership Sports and Recreation Clubs","1995","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Recreation","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Max Davis","","","",""
"SCHHMA754792595","Fort Hood Area Association of Realtors (FHAAR)","306 W Mary Jane Dr.","","","","","Killeen, TX 76541 USA","Killeen","TX","76541","United States","254","(254)634-4412","","","","http://fhaar.org","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Real Estate","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Michael DeHart","","","",""
"HRGQXW109302282","Fort Stockton Noon Lions Club","PO Box 1462","","","","","Fort Stockton, TX 79735-1462 USA","Fort Stockton","TX","79735-1462","United States","432","(432)290-3316; (432)290-0524","","","fortstocktonLionsClub@yahoo.com","http://fortstocktontx.lionwap.org","8641","Civic and Social Associations","","","1928","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Abel Gutierrez","","","",""
"CTDKFM099556518","Fort Worth Area Psychological Association","PO Box 471432","","","","","Fort Worth, TX 76147 USA","Fort Worth","TX","76147","United States","","","","","fwapatx@gmail.com","http://www.fwapa.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Psychology","4; 08","South Central and Great Plains States; Health and Medical Organizations","Scott Hilborn, PhD","","","",""
"BSISSF780421179","Fort Worth Association for Financial Professionals (FWAFP)","PO Box 1722","","","","","Fort Worth, TX 76101 USA","Fort Worth","TX","76101","United States","682","(682)236-6263","","(682)236-7208","president@fortworthafp.org","http://www.texastma.org/FortWorth","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Finance","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Sandy Reeves","","","",""
